Town,Year,Variable,Value
Norfolk,SFY 2009-2010,Total Gross Grand List,305774120
North Branford,SFY 2009-2010,Total Gross Grand List,1276710330
North Canaan,SFY 2009-2010,Total Gross Grand List,339672950
North Haven,SFY 2009-2010,Total Gross Grand List,2815736449
North Stonington,SFY 2009-2010,Total Gross Grand List,597956423
Norwalk,SFY 2009-2010,Total Gross Grand List,12025210093
Norwich,SFY 2009-2010,Total Gross Grand List,2286837277
Old Lyme,SFY 2009-2010,Total Gross Grand List,1476742640
Old Saybrook,SFY 2009-2010,Total Gross Grand List,2498754646
Orange,SFY 2009-2010,Total Gross Grand List,2092512197
Oxford,SFY 2009-2010,Total Gross Grand List,1373880805
Plainfield,SFY 2009-2010,Total Gross Grand List,1029263040
Plainville,SFY 2009-2010,Total Gross Grand List,1349194020
Plymouth,SFY 2009-2010,Total Gross Grand List,804294867
Pomfret,SFY 2009-2010,Total Gross Grand List,339964246
Portland,SFY 2009-2010,Total Gross Grand List,822642433
Preston,SFY 2009-2010,Total Gross Grand List,428508695
Prospect,SFY 2009-2010,Total Gross Grand List,793920764
Putnam,SFY 2009-2010,Total Gross Grand List,594318915
Redding,SFY 2009-2010,Total Gross Grand List,1911195950
Ridgefield,SFY 2009-2010,Total Gross Grand List,5418907702
Rocky Hill,SFY 2009-2010,Total Gross Grand List,2103329783
Roxbury,SFY 2009-2010,Total Gross Grand List,731534180
Salem,SFY 2009-2010,Total Gross Grand List,418922156
Salisbury,SFY 2009-2010,Total Gross Grand List,1179418312
Scotland,SFY 2009-2010,Total Gross Grand List,126589579
Seymour,SFY 2009-2010,Total Gross Grand List,1347452920
Sharon,SFY 2009-2010,Total Gross Grand List,822615597
Shelton,SFY 2009-2010,Total Gross Grand List,4923064790
Sherman,SFY 2009-2010,Total Gross Grand List,727247753
Simsbury,SFY 2009-2010,Total Gross Grand List,2495245510
Somers,SFY 2009-2010,Total Gross Grand List,763140084
Southbury,SFY 2009-2010,Total Gross Grand List,2477723559
Southington,SFY 2009-2010,Total Gross Grand List,3883060972
South Windsor,SFY 2009-2010,Total Gross Grand List,2652792681
Sprague,SFY 2009-2010,Total Gross Grand List,190036340
Stafford,SFY 2009-2010,Total Gross Grand List,796013630
Stamford,SFY 2009-2010,Total Gross Grand List,23276114739
Sterling,SFY 2009-2010,Total Gross Grand List,299280057
Stonington,SFY 2009-2010,Total Gross Grand List,3069950613
Stratford,SFY 2009-2010,Total Gross Grand List,4529179564
Suffield,SFY 2009-2010,Total Gross Grand List,1352945491
Thomaston,SFY 2009-2010,Total Gross Grand List,600967515
Thompson,SFY 2009-2010,Total Gross Grand List,657313451
Tolland,SFY 2009-2010,Total Gross Grand List,1213962062
Torrington,SFY 2009-2010,Total Gross Grand List,1870305837
Trumbull,SFY 2009-2010,Total Gross Grand List,4887956505
Union,SFY 2009-2010,Total Gross Grand List,92240045
Vernon,SFY 2009-2010,Total Gross Grand List,1834000151
Voluntown,SFY 2009-2010,Total Gross Grand List,220681029
Wallingford,SFY 2009-2010,Total Gross Grand List,4090299923
Warren,SFY 2009-2010,Total Gross Grand List,345226770
Washington,SFY 2009-2010,Total Gross Grand List,1235247880
Waterbury,SFY 2009-2010,Total Gross Grand List,5223595127
Waterford,SFY 2009-2010,Total Gross Grand List,2988673590
Watertown,SFY 2009-2010,Total Gross Grand List,1877013647
Westbrook,SFY 2009-2010,Total Gross Grand List,1320941432
West Hartford,SFY 2009-2010,Total Gross Grand List,5997853110
West Haven,SFY 2009-2010,Total Gross Grand List,2954418608
Weston,SFY 2009-2010,Total Gross Grand List,2602177398
Westport,SFY 2009-2010,Total Gross Grand List,10564124486
Wethersfield,SFY 2009-2010,Total Gross Grand List,2260968890
Willington,SFY 2009-2010,Total Gross Grand List,457811179
Wilton,SFY 2009-2010,Total Gross Grand List,4857460114
Winchester,SFY 2009-2010,Total Gross Grand List,804515888
Windham,SFY 2009-2010,Total Gross Grand List,897413592
Windsor,SFY 2009-2010,Total Gross Grand List,2756541372
Windsor Locks,SFY 2009-2010,Total Gross Grand List,1236265271
Wolcott,SFY 2009-2010,Total Gross Grand List,1345907268
Woodbridge,SFY 2009-2010,Total Gross Grand List,1193109660
Woodbury,SFY 2009-2010,Total Gross Grand List,1197493664
Woodstock,SFY 2009-2010,Total Gross Grand List,777774034
Andover,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,2.03
Ansonia,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,10.93
Ashford,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,7.41
Avon,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,10.79
Barkhamsted,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,4.73
Beacon Falls,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,8.06
Berlin,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,17.91
Bethany,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,5.51
Bethel,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,13.96
Bethlehem,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,5.83
Bloomfield,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,22.51
Bolton,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,5.56
Bozrah,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,13.79
Branford,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,14.15
Bridgeport,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,17.84
Bridgewater,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,0.93
Bristol,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,16.31
Brookfield,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,13.97
Brooklyn,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,6.41
Burlington,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,1.83
Canaan,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,8.1
Canterbury,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,3.3
Canton,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,12.59
Chaplin,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,4.57
Cheshire,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,14.05
Chester,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,15.16
Clinton,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,11.15
Colchester,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,7.9
Colebrook,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,1.02
Columbia,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,4.11
Cornwall,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,2.35
Coventry,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,2.63
Cromwell,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,17.29
Danbury,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,29.59
Darien,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,6.27
Deep River,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,8.36
Derby,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,16.3
Durham,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,4.42
Eastford,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,6.05
East Granby,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,16.58
East Haddam,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,4.85
East Hampton,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,4.87
East Hartford,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,21.47
East Haven,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,12.37
East Lyme,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,6.55
Easton,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,2.32
East Windsor,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,24.85
Ellington,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,7.01
Enfield,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,19.75
Essex,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,14.06
Fairfield,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,8.63
Farmington,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,20.98
Franklin,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,17.97
Glastonbury,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,13.03
Goshen,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,3.6
Granby,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,4.24
Greenwich,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,12.5
Griswold,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,5.21
Groton,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,25.3
Guilford,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,7.04
Haddam,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,3.35
Hamden,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,11.27
Hampton,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,1.63
Hartford,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,44.42
Hartland,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,0.33
Harwinton,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,2.22
Hebron,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,2.9
Kent,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,6.51
Killingly,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,17.05
Killingworth,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,2.78
Lebanon,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,2.51
Ledyard,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,5.36
Lisbon,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,16.81
Litchfield,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,9.37
Lyme,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,0.75
Madison,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,4.84
Manchester,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,23.66
Mansfield,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,8.02
Marlborough,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,5.1
Meriden,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,19.72
Middlebury,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,11.15
Middlefield,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,7.59
Middletown,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,14.82
Milford,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,38.7
Monroe,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,8.21
Montville,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,10.47
Morris,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,2.93
Naugatuck,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,10.31
New Britain,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,14.51
New Canaan,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,5.19
New Fairfield,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,1.92
New Hartford,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,5.23
New Haven,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,39.36
Newington,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,18.53
New London,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,38.08
New Milford,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,11.85
Newtown,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,7.65
Norfolk,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,3.09
North Branford,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,9.61
North Canaan,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,21.86
North Haven,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,19.65
North Stonington,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,10.11
Norwalk,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,18.88
Norwich,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,17.9
Old Lyme,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,4.66
Old Saybrook,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,10.96
Orange,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,25.36
Oxford,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,5.34
Plainfield,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,17.4
Plainville,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,19.39
Plymouth,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,7.5
Pomfret,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,6.22
Portland,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,9.52
Preston,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,4.99
Prospect,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,6.14
Putnam,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,23.21
Redding,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,6.81
Ridgefield,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,10.27
Rocky Hill,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,25
Roxbury,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,0.39
Salem,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,4.54
Salisbury,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,4.48
Scotland,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,1.08
Seymour,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,8.71
Sharon,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,4.7
Shelton,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,16.12
Sherman,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,0.25
Simsbury,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,11.41
Somers,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,3.77
Southbury,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,11.62
Southington,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,13.52
South Windsor,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,18.84
Sprague,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,11.55
Stafford,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,7.36
Stamford,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,28.6
Sterling,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,5.26
Stonington,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,14.42
Stratford,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,14.36
Suffield,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,7.39
Thomaston,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,11.32
Thompson,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,3.46
Tolland,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,6.56
Torrington,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,15.73
Trumbull,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,12.34
Union,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,3.13
Vernon,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,15.44
Voluntown,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,2.2
Wallingford,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,19.19
Warren,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,1.27
Washington,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,3.85
Waterbury,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,22.41
Waterford,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,12.42
Watertown,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,11.8
Westbrook,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,12.09
West Hartford,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,15.54
West Haven,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,11.03
Weston,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,0.91
Westport,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,12.46
Wethersfield,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,10.19
Willington,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,11.84
Wilton,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,12.49
Winchester,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,9.5
Windham,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,17.53
Windsor,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,29.07
Windsor Locks,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,25.57
Wolcott,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,5.71
Woodbridge,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,5.68
Woodbury,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,7.07
Woodstock,SFY 2009-2010,Commercial and Industrial Share of Total Net Grand List,4.48
Andover,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,74.43
Ansonia,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,52
Ashford,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,69.97
Avon,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,134.88
Barkhamsted,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,90.6
Beacon Falls,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,73.9
Berlin,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,105.49
Bethany,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,103.9
Bethel,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,109.05
Bethlehem,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,102.95
Bloomfield,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,100.04
Bolton,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,87.9
Bozrah,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,81.08
Branford,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,126.1
Bridgeport,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,43.8
Bridgewater,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,200.49
Bristol,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,66.59
Brookfield,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,131.76
Brooklyn,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,59.35
Burlington,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,91.14
Canaan,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,147.9
Canterbury,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,66.38
Canton,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,100.4
Chaplin,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,68.55
Cheshire,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,91.02
Chester,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,118.19
Clinton,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,113.21
Colchester,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,71.2
Colebrook,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,96.11
Columbia,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,86.25
Cornwall,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,268.16
Coventry,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,72.97
Cromwell,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,87.62
Danbury,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,79.98
Darien,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,297.1
Deep River,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,106.32
Derby,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,63.39
Durham,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,96.7
Eastford,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,84.95
East Granby,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,103.31
East Haddam,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,93.99
East Hampton,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,82.3
East Hartford,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,55.91
East Haven,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,66.29
East Lyme,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,108.79
Easton,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,159.71
East Windsor,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,90.9
Ellington,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,77.22
Enfield,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,62.75
Essex,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,156.57
Fairfield,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,170.48
Farmington,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,139.05
Franklin,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,101.74
Glastonbury,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,112.9
Goshen,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,178.34
Granby,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,85.8
Greenwich,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,470.07
Griswold,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,60.76
Groton,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,92.04
Guilford,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,130.72
Haddam,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,94.14
Hamden,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,68
Hampton,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,76.5
Hartford,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,38.3
Hartland,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,86.87
Harwinton,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,91.8
Hebron,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,76.38
Kent,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,204.31
Killingly,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,65.25
Killingworth,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,109.32
Lebanon,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,83.33
Ledyard,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,72.72
Lisbon,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,85.03
Litchfield,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,120.32
Lyme,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,233.38
Madison,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,158.73
Manchester,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,68.95
Mansfield,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,35.7
Marlborough,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,88.17
Meriden,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,55.96
Middlebury,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,125.99
Middlefield,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,93.46
Middletown,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,76.54
Milford,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,86.38
Monroe,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,119.62
Montville,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,67.93
Morris,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,158.71
Naugatuck,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,55.2
New Britain,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,36.91
New Canaan,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,385.28
New Fairfield,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,118.88
New Hartford,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,94.14
New Haven,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,42.56
Newington,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,84.49
New London,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,55.51
New Milford,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,102.17
Newtown,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,118.82
Norfolk,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,169.23
North Branford,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,84.57
North Canaan,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,102.62
North Haven,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,115.62
North Stonington,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,104.29
Norwalk,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,137.63
Norwich,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,54.74
Old Lyme,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,192.17
Old Saybrook,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,232.6
Orange,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,112
Oxford,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,105.7
Plainfield,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,58.37
Plainville,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,81.83
Plymouth,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,61.58
Pomfret,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,79.24
Portland,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,80.91
Preston,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,85.55
Prospect,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,79.81
Putnam,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,62.11
Redding,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,177.34
Ridgefield,SFY 2009-2010,Equalized Net Grand List per Capita as Percent of State Average,200.77
