town,CityType,Year,Population,BirthsRate,DeathsRate,Crime_num,Median_household_income,Mill_Rate,HOUSING_PRICE
Danbury,LargeTown,2014,83784,1.23,0.62,1507,84697,26.8,255000
Danbury,LargeTown,2015,84657,1.26,0.68,1524,66676,27.6,252500
Darien,LargeTown,2010,20767,1.06,0.5,146,175766,11.37,1300000
Darien,LargeTown,2011,20942,1,0.48,157,193896,11.74,1425000
Darien,LargeTown,2012,21114,0.94,0.55,102,200724,12.2,1212500
Darien,LargeTown,2013,21330,0.9,0.42,82,205688,12.68,1355000
Darien,LargeTown,2014,21689,1.01,0.5,196,307100,13.17,1495000
Darien,LargeTown,2015,21787,0.96,0.54,231,208906,15.01,1425000
Deep River,Town,2010,4629,0.8,0.78,58,65250,21.73,256400
Deep River,Town,2011,4639,0.82,0.91,39,76319,21.73,200000
Deep River,Town,2012,4603,0.74,0.96,31,77625,24.28,247000
Deep River,Town,2013,4589,0.59,0.65,24,71500,24.68,242000
Deep River,Town,2014,4571,0.55,0.9,19,90052,25.08,243000
Deep River,Town,2015,4516,0.71,0.82,18,69395,25.88,215000
Derby,Town,2010,12901,0.91,1.06,410,52029,26.4,180500
Derby,Town,2011,12882,1.04,1.13,396,55478,27.4,169500
Derby,Town,2012,12830,0.99,0.88,425,54561,27.9,177250
Derby,Town,2013,12801,1.2,1.09,333,53098,35.5,141250
Derby,Town,2014,12768,0.97,0.97,356,66135,35.34,142000
Derby,Town,2015,12700,1.02,1.02,393,51596,35.74,140000
Durham,Town,2010,7386,0.7,0.62,54,105417,26.2,317000
Durham,Town,2011,7403,0.76,0.73,61,106000,26.81,319500
Durham,Town,2012,7368,0.64,0.64,33,109969,30.46,249500
Durham,Town,2013,7361,0.8,0.65,110,124179,32.19,284500
Durham,Town,2014,7348,0.64,0.54,25,140761,32.66,260000
Durham,Town,2015,7301,0.6,0.7,23,113152,33.22,285400
East Granby,Town,2010,5148,1.09,0.64,52,82695,26.3,249850
East Granby,Town,2011,5152,1.05,0.8,37,87074,27.09,233000
East Granby,Town,2012,5184,0.85,0.62,48,91146,27,240000
East Granby,Town,2013,5212,1.04,0.79,68,89615,27.3,251900
East Granby,Town,2014,5212,0.83,0.63,59,102752,28.2,214000
East Granby,Town,2015,5199,0.79,0.58,45,82117,29.8,246000
East Haddam,Town,2010,9123,0.89,0.64,126,88281,20.55,250000
East Haddam,Town,2011,9146,0.72,0.51,131,91770,20.87,240000
East Haddam,Town,2012,9158,0.78,0.6,125,93083,21.1,235000
East Haddam,Town,2013,9147,0.79,0.77,84,94747,21.52,196175
East Haddam,Town,2014,9127,0.9,0.78,61,111380,26.01,232500
East Haddam,Town,2015,9081,0.91,0.66,47,96299,27.9,208500
East Hampton,Town,2010,12954,1.09,0.64,171,48613,24.01,232500
East Hampton,Town,2011,12989,1.02,0.59,256,49611,24.98,210000
East Hampton,Town,2012,12940,0.83,0.76,154,48438,25.68,210000
East Hampton,Town,2013,12912,0.91,0.9,144,50400,25.97,215000
East Hampton,Town,2014,12874,0.79,0.7,76,62419,26.63,237500
East Hampton,Town,2015,12858,0.77,0.81,92,48369,27.14,229000
East Hartford,LargeTown,2010,51259,1.36,0.93,1756,59918,31.67,145550
East Hartford,LargeTown,2011,51293,1.28,0.95,1605,63136,33.82,136000
East Hartford,LargeTown,2012,51272,1.35,0.93,1804,63574,34.42,120500
East Hartford,LargeTown,2013,51199,1.29,0.88,1633,63673,42.79,125000
East Hartford,LargeTown,2014,51033,1.32,0.83,1376,76505,43.9,121500
East Hartford,LargeTown,2015,50821,1.25,0.88,1291,63120,45.4,122000
East Haven,LargeTown,2010,29257,0.96,1.14,1001,79815,22.85,178000
East Haven,LargeTown,2011,29209,0.97,1.14,863,80293,26.84,197000
East Haven,LargeTown,2012,29190,0.84,1.11,909,81599,26.59,175000
East Haven,LargeTown,2013,29121,0.9,1.04,785,78257,30.95,160000
East Haven,LargeTown,2014,29044,0.85,1.07,752,103335,30.95,164750
East Haven,LargeTown,2015,28935,0.96,1.15,713,84029,32.05,164500
East Lyme,Town,2010,19156,0.65,0.75,209,64301,19.19,284000
East Lyme,Town,2011,19124,0.56,0.85,192,66699,19.55,250000
East Lyme,Town,2012,18892,0.64,0.85,175,71310,19.47,260000
East Lyme,Town,2013,18937,0.72,0.85,212,72785,22.78,267750
East Lyme,Town,2014,19140,0.75,1.03,159,81514,23.35,259500
East Lyme,Town,2015,19343,0.59,0.89,157,74798,24.03,251000
East Windsor,Town,2010,11163,1.12,1.02,336,140370,21.75,171500
East Windsor,Town,2011,11170,1.15,0.81,315,141372,24,201500
East Windsor,Town,2012,11387,1.16,1.08,363,142434,24.38,176000
East Windsor,Town,2013,11406,1.09,0.96,343,150000,24.73,184450
East Windsor,Town,2014,11423,1.01,0.92,427,171108,29.78,147359.5
East Windsor,Town,2015,11400,0.92,1.04,336,131189,29.78,160000
Eastford,Town,2010,1750,0.57,0.34,10,77596,20.27,130000
Eastford,Town,2011,1744,1.03,0.52,6,73188,21,145500
Eastford,Town,2012,1730,0.75,0.69,6,73074,21.25,142000
Eastford,Town,2013,1736,1.38,0.81,16,71250,21.5,217000
Eastford,Town,2014,1734,0.46,1.04,12,87572,21.5,215000
Eastford,Town,2015,1750,0.8,0.57,9,72684,24.8,230000
Easton,Town,2010,7502,0.59,0.71,35,76786,21.7,575250
Easton,Town,2011,7564,0.5,0.58,27,80147,22.4,592000
Easton,Town,2012,7603,0.58,0.78,40,82885,22.95,551750
Easton,Town,2013,7616,0.55,0.75,31,83015,29.1,570000
Easton,Town,2014,7631,0.52,0.86,31,96232,29.3,590000
Easton,Town,2015,7625,0.62,0.6,24,78466,29.9,590000
Ellington,Town,2010,15607,1,0.51,68,81582,25,278000
Ellington,Town,2011,15582,0.86,0.58,82,84758,25.3,250000
Ellington,Town,2012,15779,0.87,0.52,73,84934,27.5,230000
Ellington,Town,2013,15786,0.96,0.62,70,84699,27.9,240000
Ellington,Town,2014,15795,0.9,0.6,66,101266,28.4,249000
Ellington,Town,2015,15916,0.86,0.58,68,85545,28.7,240000
Enfield,LargeTown,2010,44659,0.89,0.85,955,67402,23.88,175000
Enfield,LargeTown,2011,44686,0.97,0.85,856,67809,23.88,163000
Enfield,LargeTown,2012,44660,0.87,0.91,850,68356,23.88,159950
Enfield,LargeTown,2013,44748,0.84,0.89,907,67191,27.84,158000
Enfield,LargeTown,2014,44626,0.87,0.92,813,78786,29.26,160000
Enfield,LargeTown,2015,44323,0.86,0.9,844,67377,29.13,160000
Essex,Town,2010,6682,0.54,1.17,41,87480,16.95,350000
Essex,Town,2011,6698,0.72,1.18,44,84095,17.63,367500
Essex,Town,2012,6648,0.41,1.02,31,90242,17.98,361250
Essex,Town,2013,6633,0.44,1.13,21,86298,18.47,377000
Essex,Town,2014,6612,0.41,1.12,26,117320,18.99,357250
Essex,Town,2015,6586,0.55,1.23,27,86376,20.99,315000
Fairfield,LargeTown,2010,59496,0.87,0.85,1083,113248,18.9,507000
Fairfield,LargeTown,2011,59961,0.84,0.81,1159,118476,19.27,442500
Fairfield,LargeTown,2012,60450,0.78,0.81,1336,119924,22.47,520000
Fairfield,LargeTown,2013,60855,0.83,0.82,1179,117705,23.37,535000
Fairfield,LargeTown,2014,61347,0.91,0.77,1203,173929,23.93,530000
Fairfield,LargeTown,2015,61523,0.83,0.78,969,122306,24.4,530000
Farmington,LargeTown,2010,25343,0.78,0.9,710,85417,19.76,350000
Farmington,LargeTown,2011,25361,0.81,1.07,643,86675,20.46,329000
Farmington,LargeTown,2012,25529,0.81,0.96,653,88467,21.27,345000
Farmington,LargeTown,2013,25613,0.64,0.91,680,88935,21.9,257000
Farmington,LargeTown,2014,25627,0.84,0.91,674,133156,24.07,329000
Farmington,LargeTown,2015,25629,0.8,0.97,609,91712,24.44,272500
Franklin,Town,2010,1922,0.68,0.73,46,74226,19.29,158500
Franklin,Town,2011,1917,0.78,0.47,22,78342,19.54,167500
Franklin,Town,2012,1991,0.65,0.75,27,88333,20.54,185000
Franklin,Town,2013,1987,0.65,1.16,23,89643,21.04,169000
Franklin,Town,2014,1984,0.91,0.76,8,104890,21.54,102000
Franklin,Town,2015,1975,0.66,0.41,26,87708,24.72,165950
Glastonbury,LargeTown,2010,34432,0.73,0.75,394,102482,29.05,350000
Glastonbury,LargeTown,2011,34454,0.71,0.74,350,104967,29.65,350000
