Year,Town,medprice
2015,Waterbury,65000
2015,Waterford,196200
2015,Watertown,181000
2015,West Hartford,284000
2015,West Haven,150000
2015,Westbrook,269000
2015,Weston,805000
2015,Westport,1150000
2015,Wethersfield,212250
2015,Willington,189950
2015,Wilton,773500
2015,Winchester,112000
2015,Windham,105500
2015,Windsor,182000
2015,Windsor Locks,154500
2015,Wolcott,189750
2015,Woodbridge,310000
2015,Woodbury,232500
2015,Woodstock,218500
